aX,aY,aZ
0.756,-0.843,0.854
0.732,-0.845,0.85
0.723,-0.846,0.854
0.733,-0.858,0.859
0.737,-0.869,0.857
0.733,-0.874,0.84
0.731,-0.87,0.826
0.728,-0.88,0.825
0.713,-0.905,0.831
0.696,-0.905,0.834
0.655,-0.9,0.836
0.615,-0.897,0.821
0.59,-0.873,0.773
0.535,-0.857,0.712
0.479,-0.803,0.677
0.437,-0.73,0.598
0.351,-0.72,0.52
0.262,-0.665,0.486
0.212,-0.596,0.461
0.128,-0.571,0.469
0.032,-0.505,0.474
-0.091,-0.408,0.468
-0.157,-0.285,0.427
-0.292,-0.224,0.395
-0.43,-0.051,0.406
-0.621,0.122,0.441
-0.632,0.191,0.431
-0.819,0.405,0.413
-0.914,0.65,0.357
-1.066,0.769,0.315
-1.193,0.966,0.3
-1.299,1.192,0.299
-1.346,1.428,0.334
-1.445,1.531,0.485
-1.527,1.698,0.473
-1.551,1.856,0.636
-1.551,1.921,0.862
-1.475,1.998,0.988
-1.42,2.091,1.301
-1.24,2.104,1.572
-0.939,2.028,1.688
-0.772,1.922,1.86
-0.4,1.876,1.931
0.002,1.777,1.94
0.22,1.73,1.896
0.703,1.641,1.859
0.915,1.605,1.749
1.267,1.611,1.619
1.577,1.585,1.57
1.657,1.627,1.375
1.645,1.614,1.273
1.583,1.66,1.247
1.465,1.684,1.136
1.103,1.693,1.098
0.732,1.675,1.097
0.563,1.658,1.157
0.224,1.618,1.203
0.073,1.544,1.303
-0.178,1.509,1.478
-0.4,1.448,1.429
-0.504,1.412,1.453
-0.696,1.344,1.444
-0.875,1.298,1.404
-0.96,1.281,1.328
-1.118,1.268,1.278
-1.27,1.285,1.164
-1.3,1.177,1.153
-1.506,1.153,0.956
-1.41,1.061,0.915
-1.348,1.057,0.903
-1.33,0.948,0.836
-1.256,0.79,0.758
-1.156,0.73,0.791
-1.014,0.622,0.794
-0.896,0.532,0.771
-0.826,0.435,0.757
-0.7,0.405,0.765
-0.576,0.365,0.797
-0.512,0.277,0.799
-0.358,0.226,0.796
-0.148,0.157,0.789
-0.132,0.117,0.77
-0.051,0.026,0.751
-0.016,-0.042,0.72
-0.005,-0.059,0.694
0.021,-0.103,0.691
0.089,-0.187,0.677
0.121,-0.303,0.652
0.168,-0.358,0.604
0.222,-0.447,0.586
0.249,-0.51,0.59
0.3,-0.531,0.597
0.36,-0.579,0.625
0.399,-0.605,0.643
0.474,-0.659,0.641
0.554,-0.753,0.646
0.586,-0.825,0.657
0.631,-0.846,0.685
0.653,-0.891,0.706
0.663,-0.933,0.742
0.686,-0.95,0.757
0.704,-0.995,0.779
0.707,-1.025,0.791
0.73,-1.044,0.785
0.726,-1.064,0.773
0.692,-1.051,0.75
0.674,-1.018,0.745
0.652,-1.004,0.735
0.641,-0.989,0.726
0.617,-0.968,0.698
0.608,-0.952,0.673
0.581,-0.971,0.637
0.564,-0.934,0.623
0.551,-0.924,0.628
0.593,-0.898,0.623
0.606,-0.894,0.578
0.607,-0.892,0.541
0.633,-0.881,0.533
0.651,-0.86,0.536
0.669,-0.848,0.549
0.692,-0.864,0.559
0.698,-0.854,0.587
0.708,-0.841,0.644
0.73,-0.808,0.677
0.736,-0.775,0.728
0.729,-0.758,0.763
0.714,-0.714,0.784
0.707,-0.668,0.845
0.697,-0.649,0.895
0.679,-0.615,0.914
0.668,-0.586,0.946
0.653,-0.575,0.963
0.642,-0.542,0.999
0.636,-0.525,1.037
0.633,-0.508,1.047
0.63,-0.492,1.058
0.612,-0.48,1.073
0.592,-0.449,1.079
0.589,-0.39,1.102
0.58,-0.376,1.104
0.57,-0.357,1.099
0.564,-0.338,1.081
0.559,-0.329,1.074
0.554,-0.296,1.07
0.556,-0.254,1.064
0.563,-0.219,1.04
0.566,-0.192,1.014
0.577,-0.164,0.995
0.576,-0.134,0.961
0.578,-0.122,0.944
0.583,-0.105,0.937
0.585,-0.078,0.935
0.591,-0.067,0.935
0.603,-0.061,0.935
0.609,-0.064,0.931
0.611,-0.063,0.918
0.603,-0.061,0.915
0.596,-0.051,0.907
0.59,-0.053,0.896
0.576,-0.069,0.894
0.571,-0.089,0.885
0.561,-0.1,0.878
0.538,-0.114,0.874
0.505,-0.105,0.861
0.493,-0.101,0.854
0.48,-0.103,0.847
0.477,-0.115,0.829
0.472,-0.12,0.813
0.473,-0.13,0.811
0.463,-0.133,0.821
0.465,-0.138,0.818
0.468,-0.149,0.817
0.472,-0.155,0.816
0.475,-0.149,0.818
0.479,-0.139,0.818
0.481,-0.138,0.822
0.479,-0.139,0.814
0.477,-0.139,0.808
0.477,-0.14,0.807
0.481,-0.141,0.804
0.486,-0.142,0.802
0.492,-0.14,0.806
0.495,-0.141,0.82
0.497,-0.14,0.835
0.494,-0.143,0.841
0.495,-0.146,0.849
0.498,-0.156,0.855
0.499,-0.169,0.867
0.505,-0.172,0.894
0.505,-0.178,0.904
0.505,-0.177,0.92
0.505,-0.174,0.929
0.506,-0.174,0.931
0.508,-0.176,0.931
0.509,-0.183,0.936
0.516,-0.19,0.942
0.522,-0.197,0.944
0.527,-0.209,0.94
0.529,-0.215,0.936
0.539,-0.21,0.944
0.546,-0.259,0.923
0.554,-0.254,0.919
0.564,-0.253,0.927
0.572,-0.254,0.93
0.593,-0.274,0.925
0.606,-0.319,0.908
0.64,-0.338,0.907
0.654,-0.346,0.922
0.689,-0.382,0.925
0.71,-0.417,0.926
0.752,-0.438,0.924
0.798,-0.461,0.931
0.836,-0.531,0.927
0.895,-0.544,0.944
0.951,-0.579,0.957
0.98,-0.63,0.98
1.035,-0.656,1.001
1.07,-0.701,1.016
1.089,-0.746,1.05
1.129,-0.766,1.077
1.154,-0.809,1.084
1.154,-0.838,1.086
1.138,-0.843,1.079
1.128,-0.854,1.072
1.111,-0.879,1.03
1.096,-0.88,1.012
1.077,-0.886,1.004
1.054,-0.897,0.98
1.037,-0.926,0.953
0.997,-0.962,0.926
0.96,-0.965,0.881
0.914,-0.965,0.857
0.877,-0.963,0.835
0.852,-1.001,0.774
0.799,-0.985,0.748
0.771,-0.971,0.732
0.752,-0.96,0.692
0.713,-0.956,0.676
0.695,-0.939,0.641
0.661,-0.928,0.635
0.609,-0.906,0.625
0.554,-0.899,0.618
0.534,-0.891,0.611
0.511,-0.875,0.612
0.506,-0.9,0.612
0.495,-0.909,0.646
0.49,-0.868,0.679
0.49,-0.861,0.721
0.477,-0.859,0.76
0.49,-0.83,0.793
0.511,-0.832,0.849
0.548,-0.837,0.854
0.53,-0.832,0.846
0.508,-0.769,0.834
0.444,-0.724,0.807
0.387,-0.666,0.792
0.347,-0.596,0.78
0.235,-0.564,0.74
0.13,-0.517,0.725
0.002,-0.433,0.693
-0.084,-0.27,0.647
-0.257,-0.184,0.505
-0.461,-0.02,0.563
-0.565,0.131,0.5
-0.752,0.204,0.42
-0.918,0.354,0.388
-0.991,0.53,0.347
-1.127,0.649,0.336
-1.249,0.899,0.341
-1.344,1.107,0.343
-1.389,1.339,0.376
-1.453,1.444,0.418
-1.477,1.647,0.454
-1.481,1.847,0.529
-1.486,1.936,0.629
-1.484,2.08,0.695
-1.474,2.217,0.85
-1.405,2.269,1.044
-1.253,2.317,1.138
-1.157,2.282,1.327
-0.905,2.257,1.505
-0.63,2.192,1.604
-0.466,2.11,1.766
-0.015,2.079,1.914
0.426,2.044,1.883
0.676,1.975,1.958
1.25,1.995,2.01
1.735,1.969,1.986
1.921,1.778,1.831
2.188,1.748,1.73
2.252,1.581,1.521
2.198,1.517,1.324
1.887,1.481,1.262
1.656,1.479,1.229
1.033,1.443,1.205
0.589,1.379,1.153
0.098,1.138,1.13
-0.02,1.207,1.355
-0.52,1.205,1.461
-0.793,1.11,1.56
-0.926,0.989,1.583
-1.055,0.921,1.548
-1.108,0.929,1.438
-1.109,0.956,1.316
-1.086,1.014,1.262
-1.068,1.052,1.139
-1.079,1.054,0.984
-1.097,1.071,0.941
-1.087,1.083,0.892
-1.114,1.067,0.837
-1.152,1.057,0.828
-1.157,1.024,0.781
-1.179,0.913,0.69
-1.167,0.867,0.635
-1.114,0.811,0.64
-1.009,0.755,0.671
-0.953,0.706,0.661
-0.813,0.602,0.633
-0.748,0.514,0.632
-0.639,0.493,0.593
-0.522,0.44,0.572
-0.433,0.384,0.527
-0.264,0.333,0.451
-0.112,0.215,0.414
-0.036,0.13,0.364
0.112,0.086,0.366
0.234,-0.002,0.385
0.285,-0.081,0.432
0.378,-0.13,0.473
0.429,-0.22,0.488
0.465,-0.333,0.524
0.475,-0.418,0.559
0.476,-0.444,0.588
0.461,-0.486,0.639
0.455,-0.528,0.678
0.413,-0.535,0.712
0.409,-0.574,0.739
0.4,-0.611,0.792
0.398,-0.609,0.808
0.402,-0.647,0.806
0.415,-0.695,0.797
0.431,-0.718,0.813
0.5,-0.738,0.829
0.573,-0.781,0.847
0.593,-0.786,0.861
0.639,-0.774,0.871
0.713,-0.773,0.883
0.751,-0.781,0.896
0.835,-0.793,0.904
0.985,-0.831,0.912
1.015,-0.809,0.926
1.051,-0.784,0.943
1.064,-0.758,0.939
1.071,-0.73,0.909
1.054,-0.717,0.881
1.047,-0.684,0.863
1.051,-0.642,0.832
1.056,-0.628,0.804
1.037,-0.605,0.799
1.02,-0.59,0.791
1.001,-0.595,0.788
0.975,-0.585,0.794
0.94,-0.631,0.789
0.912,-0.681,0.773
0.861,-0.693,0.784
0.815,-0.712,0.797
0.785,-0.722,0.807
0.738,-0.722,0.835
0.73,-0.724,0.853
0.748,-0.718,0.907
0.667,-0.755,0.813
