aX,aY,aZ
0.948,-0.68,0.655
0.957,-0.655,0.62
0.979,-0.644,0.585
0.963,-0.619,0.571
0.946,-0.587,0.553
0.919,-0.581,0.54
0.909,-0.587,0.529
0.896,-0.602,0.513
0.875,-0.618,0.506
0.82,-0.679,0.491
0.791,-0.7,0.523
0.765,-0.696,0.557
0.759,-0.728,0.583
0.732,-0.788,0.588
0.718,-0.793,0.586
0.684,-0.802,0.599
0.707,-0.759,0.652
0.705,-0.777,0.642
0.724,-0.826,0.66
0.757,-0.842,0.678
0.789,-0.827,0.723
0.782,-0.766,0.742
0.786,-0.806,0.757
0.79,-0.777,0.771
0.81,-0.758,0.792
0.829,-0.691,0.816
0.822,-0.634,0.853
0.799,-0.601,0.873
0.784,-0.547,0.881
0.781,-0.488,0.886
0.764,-0.452,0.9
0.756,-0.371,0.916
0.762,-0.318,0.931
0.78,-0.3,0.921
0.776,-0.264,0.915
0.771,-0.223,0.911
0.75,-0.202,0.917
0.745,-0.169,0.932
0.743,-0.156,0.939
0.737,-0.15,0.933
0.728,-0.146,0.92
0.724,-0.13,0.905
0.714,-0.117,0.895
0.706,-0.103,0.889
0.691,-0.076,0.89
0.664,-0.065,0.904
0.655,-0.125,0.918
0.651,-0.12,0.944
0.633,-0.109,0.946
0.607,-0.118,0.933
0.593,-0.106,0.921
0.576,-0.122,0.911
0.572,-0.13,0.866
0.567,-0.104,0.856
0.567,-0.103,0.837
0.563,-0.101,0.821
0.555,-0.067,0.815
0.541,-0.081,0.792
0.542,-0.095,0.775
0.53,-0.066,0.777
0.52,-0.061,0.776
0.513,-0.041,0.777
0.509,-0.028,0.786
0.491,-0.024,0.79
0.482,-0.015,0.793
0.48,-0.012,0.806
0.477,-0.014,0.825
0.481,-0.012,0.834
0.485,-0.01,0.854
0.491,-0.007,0.866
0.504,-0.014,0.866
0.519,-0.012,0.862
0.524,-0.014,0.861
0.536,-0.009,0.861
0.547,-0.005,0.862
0.551,-0.01,0.864
0.553,-0.016,0.864
0.547,-0.009,0.867
0.544,-0.026,0.851
0.527,-0.041,0.839
0.513,-0.015,0.853
0.511,-0.039,0.842
0.497,-0.032,0.843
0.488,-0.03,0.853
0.493,-0.05,0.85
0.495,-0.052,0.851
0.494,-0.061,0.851
0.493,-0.064,0.849
0.484,-0.057,0.853
0.481,-0.041,0.861
0.482,-0.039,0.858
0.49,-0.039,0.859
0.491,-0.037,0.85
0.488,-0.037,0.849
0.501,-0.011,0.856
0.5,-0.002,0.863
0.502,-0.002,0.862
0.517,0.011,0.859
0.52,0.017,0.855
0.528,0.023,0.859
0.539,0.027,0.871
0.547,0.027,0.884
0.561,0.027,0.883
0.566,0.034,0.88
0.572,0.041,0.873
0.579,0.053,0.868
0.583,0.06,0.866
0.588,0.061,0.867
0.591,0.058,0.869
0.594,0.059,0.874
0.59,0.059,0.878
0.585,0.053,0.88
0.576,0.049,0.878
0.836,-0.331,0.891
0.849,-0.355,0.899
0.881,-0.369,0.914
0.9,-0.393,0.919
0.912,-0.417,0.924
0.93,-0.417,0.937
0.952,-0.462,0.935
0.958,-0.482,0.925
0.974,-0.507,0.922
1.009,-0.573,0.919
1.021,-0.586,0.941
1.053,-0.629,0.93
1.079,-0.69,0.927
1.079,-0.727,0.91
1.112,-0.764,0.899
1.12,-0.807,0.879
1.112,-0.844,0.878
1.117,-0.901,0.816
1.097,-0.929,0.799
1.081,-0.943,0.789
1.057,-0.958,0.767
1.025,-0.974,0.752
0.882,-0.996,0.727
0.964,-1.002,0.714
0.916,-0.995,0.7
0.865,-0.974,0.698
0.84,-0.976,0.671
0.821,-0.979,0.659
0.793,-0.982,0.657
0.786,-0.978,0.66
0.784,-0.972,0.675
0.767,-0.979,0.68
0.751,-0.986,0.688
0.741,-0.971,0.706
0.733,-0.928,0.729
0.733,-0.908,0.739
0.725,-0.896,0.711
0.707,-0.871,0.695
0.691,-0.845,0.676
0.639,-0.83,0.666
0.572,-0.78,0.66
0.487,-0.727,0.646
0.429,-0.646,0.638
0.305,-0.597,0.638
0.174,-0.493,0.629
0.107,-0.352,0.594
-0.06,-0.265,0.517
-0.26,-0.043,0.465
-0.48,0.176,0.387
-0.58,0.412,0.225
-0.817,0.536,0.142
-1.027,0.712,0.035
-1.131,0.833,0.019
-1.308,1.023,0.039
-1.377,1.193,0.129
-1.498,1.308,0.285
-1.598,1.5,0.357
-1.646,1.658,0.486
-1.723,1.729,0.615
-1.746,1.837,0.691
-1.741,1.953,0.889
-1.679,2.013,1.082
-1.536,2.107,1.166
-1.453,2.177,1.329
-1.241,2.184,1.442
-0.951,2.135,1.483
-0.774,2.012,1.524
-0.408,1.954,1.519
-0.025,1.903,1.516
0.168,1.878,1.512
0.576,1.85,1.503
0.927,1.819,1.481
1.098,1.798,1.434
1.381,1.832,1.339
1.514,1.864,1.286
1.525,1.907,1.139
1.387,1.917,1.076
1.239,1.966,1.122
1.105,2.001,1.17
0.755,1.98,1.204
0.444,1.87,1.29
0.301,1.789,1.384
0.037,1.653,1.434
-0.076,1.548,1.527
-0.318,1.519,1.565
-0.479,1.369,1.586
-0.551,1.329,1.562
-0.769,1.252,1.556
-0.875,1.234,1.512
-1.024,1.12,1.197
-1.14,0.918,1.255
-1.073,0.921,1.167
-1.185,0.923,1.189
-1.195,1.024,1.199
-1.155,0.816,1.105
-1.206,0.73,0.916
-1.236,0.593,0.813
-1.14,0.509,0.765
-0.913,0.494,0.805
-0.793,0.452,0.779
-0.742,0.346,0.699
-0.586,0.317,0.651
-0.408,0.224,0.625
-0.183,0.172,0.63
-0.196,0.17,0.59
-0.136,0.172,0.575
-0.089,0.108,0.549
0.011,0.017,0.508
0.11,-0.005,0.517
0.21,-0.041,0.542
0.248,-0.07,0.55
0.31,-0.149,0.554
0.345,-0.19,0.566
0.412,-0.194,0.589
0.492,-0.228,0.595
0.59,-0.323,0.563
0.625,-0.42,0.528
0.671,-0.452,0.518
0.691,-0.5,0.539
0.782,-0.664,0.614
0.82,-0.69,0.641
0.846,-0.736,0.666
0.848,-0.726,0.723
0.852,-0.703,0.771
0.855,-0.695,0.783
0.86,-0.665,0.801
0.867,-0.651,0.797
0.889,-0.626,0.793
0.886,-0.601,0.757
0.865,-0.565,0.726
0.846,-0.492,0.723
0.84,-0.426,0.706
0.842,-0.418,0.668
0.836,-0.416,0.659
0.857,-0.464,0.609
1.006,-0.264,0.559
0.791,-0.394,0.514
0.884,-0.236,0.658
0.875,-0.283,0.533
0.85,-0.456,0.492
0.884,-0.39,0.492
0.97,-0.363,0.525
0.977,-0.388,0.53
0.976,-0.407,0.527
0.984,-0.417,0.514
0.977,-0.462,0.501
0.98,-0.471,0.511
0.988,-0.458,0.561
1.014,-0.461,0.595
1.034,-0.534,0.668
1.054,-0.568,0.709
1.037,-0.59,0.724
1.011,-0.56,0.725
0.997,-0.514,0.671
0.962,-0.501,0.631
0.953,-0.47,0.556
0.957,-0.408,0.486
0.971,-0.373,0.457
0.983,-0.319,0.422
0.99,-0.299,0.394
0.996,-0.258,0.383
0.996,-0.236,0.371
0.992,-0.231,0.378
0.988,-0.21,0.383
0.976,-0.205,0.405
0.978,-0.224,0.413
0.976,-0.203,0.436
0.977,-0.17,0.469
0.975,-0.155,0.482
0.976,-0.143,0.504
0.973,-0.006,0.532
0.974,-0.134,0.55
0.973,-0.132,0.565
0.964,-0.107,0.609
0.972,-0.103,0.625
0.969,-0.107,0.627
0.973,-0.089,0.622
0.956,-0.083,0.617
0.95,-0.06,0.618
0.95,-0.048,0.621
0.939,-0.033,0.624
0.932,-0.035,0.635
0.926,-0.04,0.643
0.9,-0.044,0.646
0.871,-0.056,0.648
0.851,-0.071,0.659
0.81,-0.08,0.668
0.788,-0.096,0.697
0.746,-0.099,0.725
0.723,-0.112,0.736
0.711,-0.13,0.746
0.681,-0.133,0.744
0.659,-0.127,0.737
0.647,-0.13,0.735
0.63,-0.132,0.735
0.613,-0.122,0.736
0.612,-0.116,0.741
0.616,-0.113,0.738
0.634,-0.108,0.733
0.651,-0.101,0.724
0.685,-0.096,0.718
0.722,-0.085,0.715
0.734,-0.038,0.719
0.752,-0.036,0.703
0.772,-0.061,0.683
0.776,-0.023,0.679
0.796,-0.012,0.671
0.799,0.029,0.684
0.802,-0.031,0.676
0.8,-0.044,0.67
0.782,-0.01,0.691
0.767,0.013,0.722
0.757,0.012,0.732
0.732,0.002,0.728
0.72,-0.016,0.731
0.717,-0.039,0.742
0.71,-0.031,0.75
0.703,-0.008,0.767
0.709,-0.002,0.768
0.706,0,0.765
0.704,-0.011,0.759
0.709,-0.018,0.76
0.712,-0.015,0.76
0.716,0.019,0.778
0.73,-0.034,0.738
0.731,-0.043,0.725
0.731,-0.027,0.737
0.745,-0.037,0.734
0.754,-0.048,0.728
0.749,-0.045,0.714
0.766,-0.04,0.709
0.786,-0.035,0.707
0.792,-0.032,0.708
0.81,-0.036,0.71
0.827,-0.041,0.713
0.834,-0.041,0.721
0.854,-0.042,0.733
0.873,-0.049,0.74
0.961,-0.339,0.737
0.971,-0.349,0.739
0.98,-0.375,0.734
0.995,-0.397,0.743
1.011,-0.46,0.691
1.017,-0.477,0.684
1.025,-0.479,0.695
1.036,-0.488,0.683
1.026,-0.501,0.673
1.015,-0.508,0.66
1.008,-0.513,0.658
1.006,-0.523,0.657
1.013,-0.532,0.667
1.036,-0.541,0.674
1.065,-0.568,0.678
1.08,-0.599,0.69
1.108,-0.617,0.69
1.131,-0.659,0.692
1.138,-0.703,0.704
1.136,-0.722,0.713
1.113,-0.759,0.717
1.075,-0.784,0.724
1.057,-0.8,0.722
1.022,-0.829,0.716
1.004,-0.852,0.704
1.004,-0.992,0.678
1.002,-0.885,0.665
0.992,-0.885,0.648
0.977,-0.892,0.608
0.952,-0.896,0.581
0.95,-0.874,0.552
0.952,-0.882,0.525
0.935,-0.88,0.509
0.919,-0.858,0.479
0.888,-0.848,0.457
0.842,-0.814,0.459
0.813,-0.782,0.452
0.765,-0.772,0.44
0.7,-0.739,0.44
0.613,-0.681,0.43
0.571,-0.654,0.437
0.503,-0.588,0.446
0.414,-0.522,0.455
0.359,-0.488,0.447
0.228,-0.392,0.445
0.071,-0.264,0.435
-0.005,-0.177,0.386
-0.155,0.002,0.363
-0.358,0.234,0.331
-0.454,0.462,0.294
-0.642,0.552,0.28
-0.82,0.728,0.246
-0.913,0.815,0.237
-1.086,1.018,0.283
-1.217,1.189,0.322
-1.274,1.357,0.44
-1.404,1.443,0.504
-1.523,1.621,0.641
-1.571,1.79,0.797
-1.614,1.846,0.88
-1.581,1.904,1.077
-1.546,1.922,1.299
-1.417,1.951,1.425
-1.215,1.965,1.696
-1.088,1.952,1.935
-0.812,1.886,2.035
-0.537,1.794,2.244
-0.335,1.723,2.382
0.06,1.543,2.423
0.495,1.463,2.415
0.688,1.423,2.33
1.134,1.414,2.253
1.325,1.326,2.094
1.64,1.329,1.835
1.79,1.428,1.684
1.802,1.557,1.363
1.721,1.625,1.214
1.644,1.717,0.935
1.385,1.743,0.644
1.068,1.776,0.555
0.913,1.782,0.49
0.582,1.784,0.511
0.233,1.735,0.64
0.075,1.691,0.803
-0.19,1.557,0.885
-0.291,1.398,1.038
-0.468,1.332,1.185
-0.602,1.212,1.212
-0.674,1.068,1.327
-0.72,1.045,1.318
-0.839,0.912,1.312
-0.858,0.885,1.343
-1.277,0.888,1.03
-0.683,0.581,1.427
-0.885,0.634,1.238
-1.174,0.775,1.245
-1.099,0.67,1.146
-1.019,0.486,1.121
-1.112,0.489,1.058
-1.078,0.456,0.963
-0.998,0.266,0.905
-0.866,0.338,0.863
-0.809,0.341,0.851
-0.755,0.317,0.838
-0.604,0.304,0.798
-0.435,0.255,0.761
-0.352,0.23,0.692
-0.209,0.238,0.667
-0.052,0.27,0.662
0.041,0.285,0.653
0.203,0.286,0.581
0.337,0.251,0.532
0.395,0.215,0.454
0.512,0.217,0.421
0.617,0.176,0.413
0.658,0.15,0.401
0.688,0.148,0.39
0.677,0.127,0.405
0.676,0.061,0.423
0.85,-0.517,0.71
0.87,-0.553,0.73
0.89,-0.553,0.749
0.887,-0.535,0.755
0.887,-0.501,0.754
0.895,-0.493,0.73
0.9,-0.474,0.711
0.903,-0.459,0.667
0.91,-0.434,0.562
0.989,-0.451,0.687
0.97,-0.503,0.479
0.949,-0.316,0.689
0.968,-0.326,0.67
0.923,-0.434,0.6
0.975,-0.43,0.617
1.052,-0.356,0.711
1.05,-0.349,0.72
1.05,-0.339,0.707
1.047,-0.367,0.678
1.046,-0.387,0.658
1.075,-0.392,0.644
1.084,-0.419,0.621
1.085,-0.451,0.607
1.089,-0.467,0.607
1.069,-0.461,0.617
1.058,-0.468,0.612
1.032,-0.489,0.571
1.026,-0.52,0.57
1.021,-0.53,0.547
0.975,-0.538,0.526
0.943,-0.54,0.506
0.943,-0.517,0.493
0.932,-0.509,0.471
0.921,-0.476,0.464
0.918,-0.442,0.44
0.884,-0.435,0.402
0.879,-0.406,0.4
0.879,-0.352,0.419
0.848,-0.321,0.437
0.852,-0.274,0.447
0.864,-0.256,0.497
0.9,-0.245,0.554
0.934,-0.226,0.58
0.949,-0.213,0.623
0.974,-0.212,0.667
0.996,-0.207,0.687
1.005,-0.185,0.722
1.007,-0.181,0.733
0.999,-0.177,0.737
0.996,-0.181,0.744
0.983,-0.181,0.753
0.959,-0.181,0.761
0.941,-0.192,0.765
0.91,-0.194,0.76
0.886,-0.201,0.755
0.869,-0.212,0.734
0.835,-0.206,0.699
0.814,-0.19,0.682
0.798,-0.168,0.651
0.764,-0.158,0.623
0.739,-0.142,0.611
0.726,-0.127,0.598
0.712,-0.115,0.604
0.718,-0.109,0.61
0.72,-0.109,0.618
0.714,-0.107,0.624
0.715,-0.102,0.631
0.717,-0.08,0.656
0.719,-0.049,0.666
0.736,-0.038,0.659
0.741,-0.018,0.655
0.745,-0.008,0.652
0.752,0.004,0.657
0.76,0.004,0.672
0.762,-0.001,0.687
0.758,-0.002,0.701
0.751,-0.007,0.709
0.749,-0.011,0.725
0.746,-0.016,0.731
0.744,-0.025,0.733
0.739,-0.016,0.741
0.738,-0.043,0.732
0.712,-0.053,0.712
0.702,-0.031,0.721
0.692,-0.034,0.723
0.674,-0.047,0.717
0.663,-0.053,0.722
0.645,-0.055,0.862
0.643,-0.066,0.765
0.64,-0.072,0.765
0.632,-0.062,0.76
0.63,-0.034,0.751
0.633,-0.003,0.737
0.644,0.01,0.729
0.669,0.032,0.718
0.683,0.039,0.715
0.713,0.045,0.718
0.729,0.052,0.722
0.764,0.054,0.723
0.798,0.059,0.719
0.808,0.068,0.721
0.823,0.073,0.718
0.829,0.072,0.716
0.831,0.067,0.711
0.84,0.061,0.713
0.849,0.045,0.717
0.847,0.055,0.725
0.863,0.053,0.727
0.87,-0.05,0.67
0.888,-0.052,0.639
0.902,-0.048,0.633
0.914,-0.053,0.632
0.923,-0.076,0.612
0.935,-0.067,0.623
0.951,-0.138,0.619
0.971,-0.182,0.597
0.98,-0.188,0.616
0.995,-0.213,0.625
1.017,-0.234,0.632
1.038,-0.336,0.658
1.041,-0.342,0.678
1.057,-0.386,0.707
1.063,-0.409,0.731
1.069,-0.435,0.747
1.074,-0.498,0.773
1.087,-0.521,0.784
1.1,-0.55,0.794
1.118,-0.591,0.812
1.143,-0.612,0.822
1.169,-0.65,0.822
1.185,-0.692,0.823
1.22,-0.711,0.819
1.254,-0.742,0.813
1.27,-0.77,0.803
1.306,-0.779,0.794
1.355,-0.799,0.795
1.385,-0.825,0.807
1.451,-0.842,0.824
1.513,-0.875,0.832
1.535,-0.89,0.83
1.547,-0.887,0.811
1.531,-0.881,0.792
1.526,-0.874,0.773
1.522,-0.872,0.754
1.506,-0.874,0.74
1.493,-0.87,0.706
1.458,-0.866,0.676
1.414,-0.862,0.656
1.258,-0.854,0.616
1.299,-0.83,0.604
1.197,-0.82,0.598
1.079,-0.82,0.576
1.005,-0.807,0.556
0.84,-0.79,0.54
0.69,-0.738,0.525
0.617,-0.702,0.493
0.479,-0.687,0.465
0.369,-0.641,0.462
0.276,-0.612,0.423
0.227,-0.55,0.376
0.127,-0.49,0.349
0.033,-0.345,0.332
-0.023,-0.221,0.283
-0.143,-0.151,0.25
-0.245,-0.004,0.182
-0.283,0.126,0.142
-0.38,0.189,0.142
-0.453,0.343,0.155
-0.491,0.497,0.218
-0.584,0.57,0.27
-0.708,0.722,0.29
-0.778,0.91,0.339
-0.931,1.02,0.415
-1.057,1.194,0.461
-1.11,1.32,0.574
-1.215,1.382,0.693
-1.28,1.514,0.747
-1.3,1.627,0.86
-1.303,1.675,0.977
-1.291,1.775,1.043
-1.233,1.843,1.178
-1.181,1.876,1.307
-1.04,1.889,1.446
-0.843,1.904,1.52
-0.716,1.907,1.663
-0.422,1.907,1.773
-0.09,1.897,1.814
0.349,1.849,1.806
0.473,1.809,1.701
0.817,1.738,1.632
0.97,1.753,1.511
1.228,1.777,1.467
1.4,1.803,1.375
1.452,1.798,1.287
1.448,1.792,1.249
1.318,1.769,1.179
1.21,1.755,1.142
0.938,1.719,1.135
0.532,1.638,1.135
0.462,1.583,1.182
0.171,1.499,1.215
0.065,1.373,1.232
-0.141,1.309,1.252
-0.294,1.274,1.262
-0.347,1.225,1.285
-0.452,1.202,1.242
-0.552,1.163,1.234
-0.726,1.109,1.15
-0.692,1.065,0.907
-0.874,0.841,1.101
-0.612,0.983,1.103
-0.813,0.981,1.03
-0.838,1.015,0.976
-0.724,0.832,0.94
-0.739,0.772,0.861
-0.803,0.762,0.78
-0.695,0.717,0.773
-0.638,0.665,0.752
-0.514,0.656,0.705
-0.402,0.58,0.67
-0.353,0.494,0.615
-0.262,0.475,0.583
-0.15,0.447,0.566
-0.08,0.366,0.521
0.021,0.329,0.451
0.117,0.285,0.426
0.159,0.24,0.356
0.227,0.166,0.322
0.251,0.043,0.259
0.352,-0.011,0.22
0.446,-0.091,0.223
0.485,-0.163,0.228
0.551,-0.206,0.239
0.601,-0.278,0.244
0.621,-0.352,0.253
0.687,-0.413,0.259
0.716,-0.489,0.265
0.726,-0.527,0.311
0.969,-0.63,0.538
0.993,-0.627,0.584
1.036,-0.613,0.612
1.058,-0.6,0.612
1.049,-0.577,0.606
1.042,-0.561,0.593
1.029,-0.527,0.598
1.018,-0.455,0.6
1.021,-0.389,0.592
1.028,-0.369,0.571
1.025,-0.325,0.562
1.01,-0.252,0.556
1.011,-0.222,0.559
0.934,-0.254,0.526
1.242,-0.223,0.615
1.149,-0.251,0.347
1.058,-0.255,0.545
1.17,-0.256,0.504
1.114,-0.401,0.424
1.098,-0.404,0.442
1.2,-0.455,0.494
1.21,-0.427,0.568
1.151,-0.424,0.592
1.112,-0.467,0.606
1.106,-0.474,0.629
1.084,-0.477,0.629
1.063,-0.468,0.619
1.057,-0.426,0.607
1.036,-0.4,0.581
1.004,-0.353,0.561
0.996,-0.304,0.516
0.988,-0.292,0.492
0.988,-0.244,0.508
0.971,-0.213,0.499
0.946,-0.256,0.472
0.954,-0.236,0.49
0.95,-0.269,0.523
0.946,-0.258,0.56
0.941,-0.267,0.581
0.938,-0.28,0.633
0.933,-0.28,0.675
0.924,-0.284,0.679
0.92,-0.281,0.688
0.915,-0.276,0.709
0.899,-0.266,0.717
0.902,-0.268,0.735
0.907,-0.271,0.75
0.912,-0.268,0.759
0.912,-0.264,0.78
0.925,-0.256,0.802
0.918,-0.264,0.813
0.908,-0.255,0.812
0.909,-0.128,0.807
0.911,-0.245,0.798
0.923,-0.227,0.78
0.929,-0.224,0.76
0.94,-0.202,0.754
0.938,-0.195,0.737
0.936,-0.179,0.708
0.937,-0.158,0.691
0.941,-0.143,0.681
0.942,-0.139,0.648
0.926,-0.135,0.604
0.919,-0.12,0.585
0.917,-0.107,0.561
0.9,-0.102,0.545
0.876,-0.078,0.543
0.873,-0.098,0.534
0.858,-0.079,0.543
0.845,-0.107,0.538
0.849,-0.106,0.524
0.839,-0.1,0.532
0.825,-0.106,0.53
0.82,-0.101,0.537
0.79,-0.108,0.578
0.824,-0.085,0.6
0.796,-0.116,0.626
0.792,-0.101,0.643
0.766,-0.107,0.626
0.743,-0.119,0.638
0.745,-0.106,0.642
0.731,-0.117,0.627
0.721,-0.11,0.63
0.713,-0.099,0.654
0.705,-0.107,0.656
0.692,-0.106,0.66
0.686,-0.109,0.67
0.686,-0.109,0.687
0.681,-0.104,0.703
0.675,-0.086,0.711
0.676,-0.081,0.715
0.684,-0.081,0.715
0.687,-0.07,0.711
0.688,-0.05,0.713
0.698,-0.065,0.699
0.696,-0.047,0.701
0.699,-0.017,0.721
0.722,-0.014,0.724
0.728,-0.008,0.719
0.729,0.002,0.715
0.732,0.011,0.725
0.739,0.033,0.726
0.741,0.047,0.732
0.754,0.05,0.738
0.762,0.056,0.741
0.764,0.057,0.744
0.763,0.057,0.747
0.752,0.065,0.747
0.75,0.079,0.755
0.746,0.083,0.756
0.737,0.085,0.751
0.734,0.086,0.737
0.731,0.082,0.732
0.729,0.078,0.72
0.72,0.075,0.721
0.712,0.069,0.725
0.71,0.062,0.73
0.699,0.065,0.732
0.695,0.075,0.732
1.094,-0.405,0.58
1.125,-0.455,0.602
1.182,-0.48,0.623
1.239,-0.528,0.632
1.261,-0.578,0.643
1.298,-0.603,0.645
1.322,-0.646,0.646
1.331,-0.678,0.647
1.341,-0.694,0.643
1.336,-0.719,0.631
1.335,-0.735,0.606
1.337,-0.778,0.588
1.329,-0.812,0.558
1.322,-0.826,0.533
1.306,-0.855,0.52
1.297,-0.893,0.496
1.269,-0.911,0.471
1.221,-0.94,0.463
1.175,-0.969,0.444
1.148,-0.989,0.421
1.097,-1.032,0.407
1.073,-1.068,0.386
1.018,-1.078,0.369
0.955,-1.081,0.361
0.884,-1.061,0.355
0.849,-1.046,0.357
0.775,-1.019,0.362
0.712,-1.012,0.374
0.653,-1.023,0.364
0.618,-0.877,0.414
0.566,-0.796,0.475
0.566,-0.782,0.513
0.583,-0.702,0.542
0.647,-0.708,0.615
0.652,-0.69,0.652
0.648,-0.643,0.661
0.501,-0.572,0.648
0.544,-0.503,0.615
0.458,-0.375,0.595
0.277,-0.24,0.531
0.256,-0.175,0.474
0.106,-0.039,0.459
-0.092,0.106,0.437
-0.137,0.17,0.423
-0.315,0.281,0.449
-0.4,0.415,0.462
-0.597,0.508,0.447
-0.745,0.703,0.447
-0.808,0.838,0.454
-0.93,0.92,0.464
-1.019,1.091,0.467
-1.06,1.25,0.463
-1.118,1.354,0.47
-1.181,1.582,0.484
-1.196,1.675,0.494
-1.177,1.827,0.516
-1.121,2.018,0.59
-1.085,2.11,0.684
-0.982,2.14,0.753
-0.84,2.198,0.933
-0.762,2.222,1.143
-0.604,2.249,1.262
-0.512,2.204,1.477
-0.274,2.154,1.647
-0.014,2.068,1.711
0.263,1.944,1.782
0.406,1.885,1.83
0.715,1.797,1.851
0.862,1.739,1.894
1.139,1.7,1.895
1.373,1.609,1.872
1.441,1.545,1.798
1.439,1.516,1.747
1.337,1.512,1.627
1.256,1.57,1.548
1.052,1.603,1.513
0.82,1.617,1.417
0.716,1.614,1.348
0.495,1.575,1.318
0.286,1.528,1.245
0.2,1.519,1.211
0.045,1.487,1.207
-0.027,1.449,1.193
-0.163,1.442,1.193
-0.279,1.423,1.197
-0.328,1.386,1.19
-0.416,1.361,1.184
-0.507,1.283,1.157
-0.551,1.255,1.122
-0.618,1.24,1.083
-0.639,1.197,1.048
-0.639,1.139,0.983
-0.628,1.128,0.904
-0.605,1.077,0.863
-0.58,0.994,0.793
-0.523,0.963,0.757
-0.447,0.858,0.728
-0.407,0.759,0.703
-0.327,0.724,0.698
-0.242,0.652,0.686
-0.202,0.532,0.62
-0.121,0.479,0.594
-0.061,0.384,0.492
-0.048,0.305,0.496
0.016,0.282,0.447
0.05,0.173,0.447
0.104,0.156,0.449
0.155,0.109,0.453
0.222,0.035,0.477
0.262,-0.001,0.5
0.363,-0.016,0.516
0.467,-0.065,0.541
0.5,-0.105,0.54
0.542,-0.107,0.554
0.618,-0.098,0.573
0.655,-0.137,0.569
0.722,-0.177,0.547
0.787,-0.206,0.544
0.813,-0.25,0.529
1.06,-0.532,0.471
1.047,-0.541,0.49
1.027,-0.387,0.578
1.029,-0.468,0.558
0.998,-0.533,0.542
0.993,-0.522,0.511
0.977,-0.502,0.519
0.94,-0.438,0.515
0.92,-0.407,0.499
0.93,-0.329,0.511
0.909,-0.283,0.51
0.898,-0.329,0.476
0.924,-0.325,0.483
0.945,-0.285,0.517
0.927,-0.276,0.537
0.869,-0.282,0.533
0.867,-0.333,0.54
0.913,-0.277,0.562
0.861,-0.345,0.571
0.854,-0.335,0.581
0.841,-0.345,0.57
0.778,-0.371,0.597
0.775,-0.333,0.604
0.78,-0.328,0.606
0.79,-0.342,0.608
0.8,-0.343,0.61
0.79,-0.343,0.629
0.775,-0.333,0.651
0.773,-0.321,0.657
0.778,-0.314,0.666
0.786,-0.299,0.669
0.79,-0.272,0.682
0.803,-0.254,0.693
0.796,-0.229,0.693
0.797,-0.245,0.691
0.83,-0.2,0.694
0.81,-0.204,0.716
0.815,-0.172,0.726
0.815,-0.182,0.709
0.805,-0.197,0.702
0.815,-0.168,0.728
0.823,-0.152,0.712
0.797,-0.165,0.686
0.803,-0.177,0.69
0.829,-0.165,0.699
0.814,-0.159,0.698
0.808,-0.163,0.697
0.792,-0.168,0.702
0.784,-0.165,0.701
0.776,-0.157,0.693
0.761,-0.152,0.679
0.753,-0.133,0.676
0.751,-0.102,0.668
0.756,-0.092,0.66
0.761,-0.062,0.66
0.768,-0.02,0.66
0.769,-0.047,0.621
0.771,-0.02,0.62
0.772,0.028,0.65
0.79,0.039,0.657
0.807,0.056,0.658
0.813,0.065,0.658
0.825,0.078,0.665
0.832,0.091,0.68
0.839,0.097,0.683
0.827,0.098,0.693
0.821,0.1,0.705
0.807,0.109,0.71
0.8,0.111,0.722
0.776,0.113,0.726
0.759,0.126,0.729
0.748,0.123,0.735
0.75,0.09,0.723
0.738,0.127,0.732
0.747,0.132,0.732
0.749,0.12,0.72
0.75,0.142,0.718
0.739,0.132,0.709
0.748,0.107,0.699
0.746,0.117,0.71
0.749,0.119,0.718
0.751,0.111,0.716
0.752,0.108,0.708
0.746,0.106,0.708
0.747,0.109,0.711
0.752,0.113,0.713
0.751,0.11,0.708
0.748,0.106,0.706
0.745,0.095,0.709
0.743,0.091,0.718
0.744,0.085,0.72
0.737,0.081,0.716
0.735,0.077,0.708
0.726,0.076,0.702
0.722,0.074,0.698
0.71,0.077,0.695
0.703,0.084,0.693
0.701,0.08,0.693
0.695,0.082,0.695
0.693,0.087,0.7
0.696,0.085,0.705
0.699,0.084,0.708
0.701,0.08,0.711
0.701,0.077,0.719
0.704,0.071,0.721
0.703,0.063,0.718
0.7,0.059,0.717
0.7,0.053,0.711
0.702,0.051,0.7
0.699,0.041,0.693
0.695,0.028,0.685
0.692,0.025,0.672
0.679,0.025,0.669
0.677,0.023,0.662
0.665,0.017,0.657
0.657,0.031,0.652
0.653,-0.005,0.652
0.653,-0.021,0.631
0.641,0,0.635
1.061,-0.27,0.715
1.081,-0.309,0.721
1.115,-0.33,0.728
1.151,-0.391,0.74
1.169,-0.428,0.75
1.203,-0.491,0.751
1.234,-0.549,0.75
1.246,-0.572,0.742
1.263,-0.618,0.726
1.268,-0.667,0.719
1.265,-0.691,0.707
1.254,-0.719,0.694
1.235,-0.768,0.677
1.222,-0.779,0.643
1.179,-0.786,0.634
1.146,-0.789,0.606
1.125,-0.801,0.564
1.082,-0.828,0.542
1.044,-0.848,0.512
1.033,-0.871,0.497
1.013,-0.876,0.493
0.981,-0.885,0.489
0.97,-0.892,0.501
0.952,-0.898,0.516
0.933,-0.904,0.528
0.926,-0.912,0.573
