aX,aY,aZ
0.174,0.884,0.428
0.217,0.903,0.425
0.315,0.882,0.46
0.341,0.754,0.4
0.36,0.865,0.312
0.299,1.014,0.172
0.244,1.053,-0.058
0.211,0.842,-0.1
0.18,0.443,-0.314
0.016,0.237,-0.146
-0.008,0.008,-0.124
-0.075,0.295,0.009
0.059,0.652,0.412
0.353,2.283,0.361
0.35,2.139,0.004
0.298,1.403,-0.144
0.445,1.164,0.046
0.298,1.146,0.066
0.233,1.132,0.174
0.23,1.192,0.201
0.206,1.13,0.141
0.197,1.125,0.146
0.223,1.165,0.163
0.218,1.005,0.113
0.258,1.014,0.11
0.319,0.897,0.131
0.29,0.969,0.152
0.249,0.946,0.209
0.297,0.857,0.238
0.301,0.791,0.199
0.366,0.808,0.236
0.423,0.813,0.338
0.526,0.835,0.362
0.56,0.93,0.37
0.563,1.047,0.351
0.527,1.045,0.233
0.47,0.992,0.172
0.447,0.972,0.086
0.421,0.886,0.072
0.415,0.837,0.076
0.409,0.853,0.085
0.421,0.812,0.091
0.425,0.785,0.109
0.443,0.759,0.134
0.513,0.672,0.158
0.511,0.804,0.152
0.481,0.578,0.155
0.457,0.251,0.278
0.442,0.444,0.303
0.409,1.002,0.258
0.324,0.474,0.296
0.373,0.561,0.223
0.453,0.776,0.182
0.324,1.209,0.144
0.877,1.98,0.111
0.917,1.233,-0.297
0.687,0.881,-0.318
0.474,0.362,-0.223
0.286,0.576,0.04
0.173,0.846,0.199
0.223,0.713,0.249
0.355,0.834,0.287
0.5,0.807,0.246
0.57,0.948,0.173
0.477,0.854,-0.011
0.432,1.063,-0.088
0.342,1.008,-0.101
0.36,1.232,-0.123
0.299,0.977,-0.135
0.33,0.853,-0.035
0.448,0.827,0.078
0.535,0.889,0.08
0.56,0.874,0.055
0.48,0.898,0.035
0.44,0.878,0.009
0.427,0.857,0
0.446,0.827,-0.022
0.452,0.831,-0.048
0.471,0.83,-0.049
0.466,0.856,-0.047
0.468,0.842,-0.032
0.48,0.827,-0.018
0.463,0.821,-0.004
0.47,0.814,0.011
0.475,0.781,0.03
0.495,0.761,0.07
0.5,0.774,0.062
0.475,0.79,0.061
0.486,0.789,0.064
0.514,0.769,0.078
0.508,0.771,0.079
0.508,0.773,0.077
0.503,0.789,0.069
0.505,0.796,0.074
0.507,0.797,0.091
0.511,0.796,0.097
0.5,0.789,0.107
0.469,0.795,0.099
0.484,0.8,0.087
0.487,0.815,0.076
0.492,0.818,0.07
0.492,0.809,0.061
0.499,0.807,0.061
0.503,0.796,0.059
0.503,0.792,0.052
0.51,0.789,0.044
0.508,0.778,0.048
0.506,0.777,0.064
0.512,0.781,0.069
0.525,0.791,0.051
0.527,0.786,0.029
0.468,1.133,-0.431
0.456,1.179,-0.442
0.455,1.217,-0.437
0.452,1.257,-0.424
0.446,1.3,-0.413
0.438,1.35,-0.41
0.425,1.398,-0.409
0.41,1.439,-0.411
0.389,1.486,-0.424
0.386,1.521,-0.43
0.381,1.538,-0.438
0.374,1.57,-0.446
0.374,1.595,-0.456
0.378,1.605,-0.454
0.377,1.626,-0.454
0.37,1.647,-0.46
0.363,1.654,-0.464
0.349,1.672,-0.46
0.332,1.689,-0.46
0.32,1.714,-0.471
0.299,1.724,-0.468
0.265,1.744,-0.46
0.245,1.778,-0.443
0.217,1.794,-0.441
0.194,1.816,-0.445
0.186,1.83,-0.46
0.164,1.832,-0.465
0.136,1.833,-0.467
0.12,1.826,-0.478
0.094,1.82,-0.492
0.077,1.797,-0.502
0.071,1.761,-0.515
0.048,1.736,-0.513
0.033,1.678,-0.503
0.037,1.625,-0.507
0.038,1.594,-0.503
0.036,1.531,-0.488
0.033,1.463,-0.479
0.033,1.38,-0.444
0.045,1.338,-0.412
0.065,1.271,-0.41
0.077,1.22,-0.429
0.091,1.195,-0.434
0.083,1.118,-0.42
0.082,1.085,-0.406
0.09,1.035,-0.395
0.099,0.982,-0.363
0.104,0.958,-0.334
0.11,0.92,-0.323
0.111,0.886,-0.306
0.113,0.872,-0.287
0.116,0.837,-0.278
0.122,0.772,-0.27
0.124,0.7,-0.271
0.135,0.66,-0.269
0.141,0.587,-0.268
0.139,0.52,-0.26
0.13,0.489,-0.276
0.125,0.447,-0.29
0.124,0.418,-0.288
